                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                 1.4115,                 1.2618,                 1.4594,                0.56481,                0.50519,                0.51784,                0.36221,                 1.1819,                 1.6102,                 1.4154,               0.006271,               0.006271,               0.006271
                    116,                 1.4259,                 1.2674,                 1.4717,                0.57188,                0.51556,                 0.5169,                0.36311,                 1.1761,                 1.5931,                 1.4084,               0.006238,               0.006238,               0.006238
                    117,                 1.4155,                 1.2733,                 1.4633,                0.54828,                0.51968,                0.51584,                0.36099,                 1.1748,                 1.5759,                 1.4118,               0.006205,               0.006205,               0.006205
                    118,                 1.4163,                 1.2508,                 1.4578,                0.55444,                0.53926,                0.52567,                0.36758,                 1.1692,                  1.551,                 1.4054,               0.006172,               0.006172,               0.006172
                    119,                 1.4225,                  1.256,                 1.4622,                0.56112,                0.52296,                0.52133,                 0.3665,                 1.1655,                 1.5586,                 1.4032,               0.006139,               0.006139,               0.006139
                    120,                 1.4119,                 1.2547,                 1.4612,                0.55348,                0.52703,                0.51562,                0.36103,                 1.1667,                  1.571,                  1.409,               0.006106,               0.006106,               0.006106
                    121,                 1.4032,                 1.2477,                 1.4583,                0.57385,                0.51852,                0.51713,                 0.3608,                 1.1674,                 1.5741,                 1.4084,               0.006073,               0.006073,               0.006073
                    122,                   1.41,                 1.2468,                 1.4601,                 0.5857,                0.49427,                0.51853,                0.36292,                  1.173,                 1.5667,                 1.4089,                0.00604,                0.00604,                0.00604
                    123,                 1.4188,                 1.2421,                 1.4577,                0.59693,                0.48444,                0.51744,                0.36452,                  1.173,                 1.5616,                 1.4088,               0.006007,               0.006007,               0.006007
                    124,                 1.4083,                 1.2416,                 1.4491,                0.59794,                0.48593,                0.52514,                0.36896,                 1.1749,                 1.5501,                 1.4113,               0.005974,               0.005974,               0.005974
                    125,                 1.4101,                 1.2429,                 1.4501,                0.60503,                0.49245,                0.52624,                 0.3735,                 1.1734,                 1.5525,                 1.4086,               0.005941,               0.005941,               0.005941
                    126,                 1.3997,                 1.2219,                 1.4504,                0.62298,                0.48714,                0.52938,                0.37689,                 1.1685,                 1.5554,                 1.4016,               0.005908,               0.005908,               0.005908
                    127,                 1.4159,                 1.2371,                 1.4572,                0.63865,                0.47704,                 0.5254,                0.37226,                 1.1661,                 1.5823,                 1.3994,               0.005875,               0.005875,               0.005875
                    128,                 1.3979,                 1.2317,                 1.4459,                0.62578,                0.48061,                 0.5249,                0.37174,                 1.1647,                 1.5874,                 1.3988,               0.005842,               0.005842,               0.005842
                    129,                 1.4062,                 1.2276,                 1.4473,                0.62762,                0.48192,                0.52574,                0.37022,                 1.1658,                 1.5772,                 1.3992,               0.005809,               0.005809,               0.005809
                    130,                 1.4035,                 1.2383,                 1.4465,                0.60969,                 0.4963,                 0.5277,                0.37067,                 1.1652,                  1.591,                 1.3973,               0.005776,               0.005776,               0.005776
                    131,                 1.3988,                 1.2147,                 1.4473,                0.61496,                0.48979,                0.52865,                0.37115,                 1.1614,                  1.589,                 1.3952,               0.005743,               0.005743,               0.005743
                    132,                 1.4042,                  1.224,                 1.4474,                0.60534,                0.48741,                0.52424,                 0.3696,                 1.1626,                  1.589,                 1.3979,                0.00571,                0.00571,                0.00571
                    133,                 1.3927,                 1.2109,                  1.439,                0.58865,                0.48593,                   0.52,                0.36809,                 1.1648,                  1.587,                 1.4021,               0.005677,               0.005677,               0.005677
                    134,                 1.3958,                 1.2171,                 1.4476,                0.60198,                0.48621,                0.52129,                0.36748,                 1.1667,                 1.5888,                  1.404,               0.005644,               0.005644,               0.005644
                    135,                 1.3838,                 1.2021,                 1.4455,                0.59992,                0.48444,                0.52059,                0.36621,                 1.1739,                 1.5889,                 1.4094,               0.005611,               0.005611,               0.005611
                    136,                 1.3874,                 1.2055,                 1.4354,                0.62137,                 0.4741,                0.51986,                0.36674,                  1.173,                 1.5719,                 1.4103,               0.005578,               0.005578,               0.005578
                    137,                 1.3936,                 1.2023,                 1.4404,                0.57725,                0.51111,                0.52128,                0.37111,                  1.169,                 1.5629,                 1.4065,               0.005545,               0.005545,               0.005545
                    138,                 1.3882,                 1.2062,                 1.4391,                0.58138,                0.50222,                0.52309,                0.37176,                 1.1699,                 1.5559,                 1.4051,               0.005512,               0.005512,               0.005512
                    139,                 1.3831,                 1.2036,                 1.4406,                0.57374,                0.51111,                0.52448,                 0.3705,                 1.1711,                 1.5509,                 1.4052,               0.005479,               0.005479,               0.005479
                    140,                 1.3805,                 1.2047,                 1.4358,                0.56496,                0.52148,                0.52641,                0.37231,                  1.169,                 1.5353,                 1.4041,               0.005446,               0.005446,               0.005446
                    141,                 1.3832,                 1.1927,                 1.4321,                0.57507,                0.51704,                0.53016,                0.37434,                 1.1619,                 1.5301,                 1.3977,               0.005413,               0.005413,               0.005413
                    142,                  1.387,                   1.19,                 1.4309,                0.58815,                0.50667,                 0.5279,                0.37424,                 1.1613,                 1.5337,                 1.3961,                0.00538,                0.00538,                0.00538
                    143,                 1.3777,                 1.1855,                 1.4279,                0.58798,                0.49481,                0.52699,                0.37529,                 1.1593,                  1.538,                  1.395,               0.005347,               0.005347,               0.005347
                    144,                 1.3701,                 1.1878,                 1.4325,                0.58198,                0.50945,                0.53038,                0.37652,                 1.1554,                   1.53,                 1.3925,               0.005314,               0.005314,               0.005314
                    145,                 1.3752,                 1.1884,                 1.4276,                0.57885,                0.50815,                0.52939,                0.37591,                 1.1537,                 1.5319,                 1.3913,               0.005281,               0.005281,               0.005281
                    146,                 1.3817,                  1.181,                 1.4314,                0.57498,                0.50667,                 0.5276,                0.37643,                 1.1522,                  1.534,                 1.3907,               0.005248,               0.005248,               0.005248
                    147,                 1.3764,                 1.1853,                 1.4297,                0.57814,                0.51556,                0.52871,                 0.3758,                 1.1537,                 1.5357,                 1.3905,               0.005215,               0.005215,               0.005215
